,Unnamed: 0,age_group,amazon_product_url,article_chapter_link,asterisk,author,book_image,book_image_height,book_image_width,book_review_link,book_uri,contributor,contributor_note,created_date,dagger,description,first_chapter_link,price,primary_isbn10,primary_isbn13,publisher,rank,rank_last_week,sunday_review_link,title,updated_date,weeks_on_list,isbns,buy_links,published_date,bestsellers_date,published_date_as_date,bestsellers_date_as_date
0,0,,https://www.amazon.com/dp/1668236516?tag=thenewyorktim-20,,0,Allen Levi,https://static01.nyt.com/bestsellers/images/9781668236512.jpg,0,0,,nyt://book/f3e1f4c8-34a3-54a3-8305-277666e21b4b,by Allen Levi,,2026-03-04T23:40:20.88Z,0,"A man travels to a small Southern town, where he purchases pencil drawings of local residents and exchanges them for stories.",,0.0,,9781668236512,Atria,1,1,,THEO OF GOLDEN,2026-03-04T23:40:20.88Z,30,"[{'isbn10': '', 'isbn13': '9781668236512'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1668236516?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781668236512?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781668236512&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Ftheo-of-golden-allen-levi%2F1143923011%3Fean%3D9781668236512&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTheo-Golden%2FAllen-Levi%2F9781668236512'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781668236512'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
1,1,,https://www.amazon.com/dp/059380421X?tag=thenewyorktim-20,,0,Caro Claire Burke,https://static01.nyt.com/bestsellers/images/9780593804216.jpg,400,312,,nyt://book/fb5cbc76-606c-50f7-b449-e958c73d2681,by Caro Claire Burke,,2026-04-16T20:39:40.59Z,0,"Natalie Heller Mills, a privileged tradwife social media influencer, wakes up to find she is living in the comparatively difficult reality of 1855.",,0.0,,9780593804216,Knopf,2,2,,YESTERYEAR,2026-04-16T20:39:40.59Z,12,"[{'isbn10': '', 'isbn13': '9780593804216'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/059380421X?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593804216?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780593804216&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fyesteryear-caro-claire-burke%2F1147793810%3Fean%3D9780593804216&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FYesteryear%2FCaro-Claire-Burke%2F9780593804216'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780593804216'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
2,2,,https://www.amazon.com/dp/0063511630?tag=thenewyorktim-20,,0,Ann Patchett,https://static01.nyt.com/bestsellers/images/9780063511637.jpg,400,312,,nyt://book/6480f0ac-57e1-5272-9566-118c913fe058,by Ann Patchett,,2026-06-10T21:51:30.058Z,0,"Decades after their time together, a woman reconnects with her stepfather and they look back at the directions their lives have taken.",,0.0,,9780063511637,Harper,3,3,,WHISTLER,2026-06-10T21:51:30.058Z,4,"[{'isbn10': '', 'isbn13': '9780063511637'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0063511630?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780063511637?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780063511637&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fwhistler-ann-patchett%2F1148504538%3Fean%3D9780063511637&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWhistler%2FAnn-Patchett%2F9780063511637'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780063511637'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
3,3,,https://www.amazon.com/dp/1954118813?tag=thenewyorktim-20&linkCode=osi&th=1&psc=1,,0,Kathryn Stockett,https://static01.nyt.com/bestsellers/images/9781954118812.jpg,400,312,,nyt://book/37a1d1e0-131c-5003-8a26-827e5b166569,by Kathryn Stockett,,2026-05-13T21:30:50.865Z,0,"As things get tougher during the Depression, several women look for ways to improve their circumstances.",,0.0,,9781954118812,Spiegel & Grau,4,7,,THE CALAMITY CLUB,2026-05-13T21:30:50.865Z,8,"[{'isbn10': '', 'isbn13': '9781954118812'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1954118813?tag=thenewyorktim-20&linkCode=osi&th=1&psc=1'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781954118812?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781954118812&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fthe-calamity-club-kathryn-stockett%2F1147098401%3Fean%3D9781954118812&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FCalamity-Club%2FKathryn-Stockett%2F9781954118812'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781954118812'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
4,4,,https://www.amazon.com/dp/0593135202?tag=thenewyorktim-20,,0,Andy Weir,https://static01.nyt.com/bestsellers/images/9780593135228.jpg,400,312,,nyt://book/c11ceffc-2fff-5cb0-98c7-c4a75b2d16bd,by Andy Weir,,2026-05-20T22:02:25.385Z,0,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders; the basis of the movie.",,0.0,,9780593135228,Ballantine,5,4,,PROJECT HAIL MARY,2026-05-20T22:02:25.385Z,55,"[{'isbn10': '', 'isbn13': '9780593135228'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593135202?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593135211?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780593135228&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fproject-hail-mary-andy-weir%2F1137456421%3Fean%3D9780593135228&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FPROJECT%2BHAIL%2BMARY%2FAndy%2BWeir%2F9780593135228'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780593135228'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
5,5,,https://www.amazon.com/dp/0593820258?tag=thenewyorktim-20,,0,Matt Dinniman,https://static01.nyt.com/bestsellers/images/9780593820254.jpg,400,312,,nyt://book/e3ca1e41-0c69-5bc3-9f5c-e4668af53e44,by Matt Dinniman,,2026-07-01T20:55:08.886Z,0,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon.",,0.0,,9780593820254,Ace,6,8,,DUNGEON CRAWLER CARL,2026-07-01T20:55:08.886Z,25,"[{'isbn10': '', 'isbn13': '9780593820254'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593820258?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9798688591507?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780593820254&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fdungeon-crawler-carl-matt-dinniman%2F1145437169%3Fean%3D9780593820254&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDungeon-Crawler-Carl%2FMatt-Dinniman%2F9780593820254'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780593820254'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
6,6,,https://www.amazon.com/dp/1775293939?tag=thenewyorktim-20,,0,Elle Kennedy,https://static01.nyt.com/bestsellers/images/9781775293934.jpg,500,333,,nyt://book/ead15738-5b14-5e39-b2fa-30efd062a916,by Elle Kennedy,,2026-05-20T18:34:35.241Z,0,Hannah Wells makes a deal with the captain of the college hockey team in exchange for tutoring him that may complicate their relationship.,,0.0,,9781775293934,Bloom,7,6,,THE DEAL,2026-05-20T18:34:35.241Z,7,"[{'isbn10': '', 'isbn13': '9781775293934'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1775293939?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781775293934?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781775293934&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fthe-deal-elle-kennedy%2F1121202984%3Fean%3D9781775293934&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDeal%2FElle-Kennedy%2F9781775293934'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781775293934'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
7,7,,https://www.amazon.com/dp/0593973119?tag=thenewyorktim-20,,0,Danielle Steel,https://static01.nyt.com/bestsellers/images/9780593973110.jpg,400,312,,nyt://book/236d8de3-dfaf-566b-9a1e-4b4e3f34814a,by Danielle Steel,,2026-07-01T18:58:06.689Z,0,The daughter of a celebrated wedding dress designer becomes engaged and the women in the family contend with relationship complications.,,0.0,,9780593973110,Delacorte,8,0,,WEDDINGS,2026-07-01T18:58:06.689Z,1,"[{'isbn10': '', 'isbn13': '9780593973110'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593973119?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593973110?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.barnesandnoble.com/w/?ean=9780593973110'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWeddings%2FDanielle-Steel%2F9780593973110'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780593973110'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
8,8,,https://www.amazon.com/dp/1668033909?tag=thenewyorktim-20,,0,Lisa Jewell,https://static01.nyt.com/bestsellers/images/9781668033906.jpg,500,331,,nyt://book/4581a2c9-8d89-5bc7-842c-f18914ebedea,by Lisa Jewell,,2026-07-01T20:45:18.547Z,0,"When a teenager is reported missing, Jane Trevally visits a house that holds unsettling memories for her.",,0.0,,9781668033906,Atria,9,0,,IT COULD HAVE BEEN HER,2026-07-01T20:45:18.547Z,1,"[{'isbn10': '', 'isbn13': '9781668033906'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1668033909?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781668033906?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781668033906&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fit-could-have-been-her-lisa-jewell%2F1148540193%3Fean%3D9781668033906&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FCould-Been-Her%2FLisa-Jewell%2F9781668033906'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781668033906'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
9,9,,https://www.amazon.com/dp/1464249636?tag=thenewyorktim-20&linkCode=osi&th=1&psc=1,,0,Freida McFadden,https://static01.nyt.com/bestsellers/images/9781464249631.jpg,400,312,,nyt://book/bafd4a0f-0a01-56eb-b3b6-6d5d85d44ed3,by Freida McFadden,,2026-06-03T18:55:48.983Z,0,"After her husband ends their marriage and she turns her attention to his new girlfriend, Naomi suspects she might be in danger.",,0.0,,9781464249631,Poisoned Pen,10,9,,THE DIVORCE,2026-06-03T18:55:48.983Z,5,"[{'isbn10': '', 'isbn13': '9781464249631'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1464249636?tag=thenewyorktim-20&linkCode=osi&th=1&psc=1'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9798349169304?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781464249631&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fthe-divorce-freida-mcfadden%2F1149325563%3Fean%3D9781464249631&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDivorce%2FFreida-McFadden%2F9781464249631'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781464249631'}]",2026-07-12,2026-06-27,2026-07-12,2026-06-27
