,age_group,amazon_product_url,article_chapter_link,asterisk,author,book_image,book_image_height,book_image_width,book_review_link,book_uri,contributor,contributor_note,created_date,dagger,description,first_chapter_link,price,primary_isbn10,primary_isbn13,publisher,rank,rank_last_week,sunday_review_link,title,updated_date,weeks_on_list,isbns,buy_links,published_date,bestsellers_date
0,,http://www.amazon.com/Celebrity-Death-J-D-Robb/dp/0425250350?tag=thenewyorktim-20,,0,J. D. Robb,https://static01.nyt.com/bestsellers/images/9781101560365.jpg,495,307,,nyt://book/d1ec5779-c211-581e-a118-572a3b136be8,by J. D. Robb,,2026-03-07T17:21:15.669Z,0,"Lt. Eve Dallas investigates when an actress drowns at the opening party for a movie based on one of her cases; by Nora Roberts, writing pseudonymously.",,0.00,,9781101560365,Penguin Group,1,0,,CELEBRITY IN DEATH,2026-03-07T17:21:15.669Z,1,"[{'isbn10': '', 'isbn13': '9781101560365'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Celebrity-Death-J-D-Robb/dp/0425250350?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781101560365?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781101560365&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fcelebrity-in-death-j-d-robb%2F1100817730%3Fean%3D9781101560365&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FCELEBRITY%2BIN%2BDEATH%2FJ%2BD%2BRobb%2F9781101560365'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781101560365'}]",2012-03-11,2012-02-25
1,,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=thenewyorktim-20,,0,Stieg Larsson,https://static01.nyt.com/bestsellers/images/9780307454560.jpg,485,330,https://www.nytimes.com/2010/05/21/books/21book.html,nyt://book/69a936f5-8e65-5843-a4bd-bd5de4e042a7,by Stieg Larsson,,2026-03-07T17:21:17.058Z,0,"In the last volume of the Millennium trilogy, Mikael Blomkvist and Lisbeth Salander are threatened by an adversary from deep within the government.",,0.00,,9780307454560,Vintage Crime/Black Lizard,2,10,https://www.nytimes.com/2010/05/30/books/review/Kamp-t.html,THE GIRL WHO KICKED THE HORNET’S NEST,2026-03-07T17:21:17.058Z,27,"[{'isbn10': '', 'isbn13': '9780307454560'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780307454560?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780307454560&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fthe-girl-who-kicked-the-hornets-nest-stieg-larsson%2F1100160449%3Fean%3D9780307454560&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BGIRL%2BWHO%2BKICKED%2BTHE%2BHORNET%25E2%2580%2599S%2BNEST%2FStieg%2BLarsson%2F9780307454560'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780307454560'}]",2012-03-11,2012-02-25
2,,http://www.amazon.com/Perfect-Blood-Hollows-Kim-Harrison/dp/0061957909?tag=thenewyorktim-20,,0,Kim Harrison,https://storage.googleapis.com/du-prd/books/images/9780061957901.jpg,193,128,,nyt://book/67827cb7-ad3d-5a80-8c6d-cf825d575d71,by Kim Harrison,,2026-03-07T17:25:37.867Z,0,"With ritually murdered corpses appearing across Cincinnati, the witch turned day-walking demon Rachel Morgan makes a chilling discovery: a group is trying to create its own demons.",,0.00,,9780062101020,Harper Voyager,3,0,,A PERFECT BLOOD,2026-03-07T17:25:37.867Z,1,"[{'isbn10': '', 'isbn13': '9780062101020'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Perfect-Blood-Hollows-Kim-Harrison/dp/0061957909?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780061957901?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780062101020&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fa-perfect-blood-kim-harrison%2F1103601412%3Fean%3D9780062101020&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FA%2BPERFECT%2BBLOOD%2FKim%2BHarrison%2F9780061957901'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780061957901'}]",2012-03-11,2012-02-25
3,,http://www.amazon.com/Kill-Shot-American-Assassin-Thriller/dp/1416595228?tag=thenewyorktim-20,,0,Vince Flynn,https://static01.nyt.com/bestsellers/images/9781439100523.jpg,495,323,,nyt://book/4bcb310d-405c-5501-9c98-13ecd4ef8e0e,by Vince Flynn,,2026-03-07T17:15:10.306Z,0,"Mitch Rapp, a C.I.A. super-agent hunting down perpetrators of the Pan Am Lockerbie bombing, finds himself caught in a dangerous trap.",,0.00,,9781439100523,Atria Books,4,2,,KILL SHOT,2026-03-07T17:15:10.306Z,3,"[{'isbn10': '', 'isbn13': '9781439100523'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Kill-Shot-American-Assassin-Thriller/dp/1416595228?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781439100523?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781439100523&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fkill-shot-vince-flynn%2F1102322853%3Fean%3D9781439100523&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FKILL%2BSHOT%2FVince%2BFlynn%2F9781439100523'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781439100523'}]",2012-03-11,2012-02-25
4,,http://www.amazon.com/Defending-Jacob-Novel-William-Landay/dp/0385344228?tag=thenewyorktim-20,,0,William Landay,https://static01.nyt.com/bestsellers/images/9780345527592.jpg,495,300,https://www.nytimes.com/2012/02/13/books/defending-jacob-by-william-landay.html,nyt://book/a89e4199-b517-571b-8bfb-8429fa7831c4,by William Landay,,2026-03-07T10:12:01.817Z,0,An assistant district attorney’s life is shaken when his 14-year-old son is accused of murder.,,0.00,,9780345527592,Delacorte,5,4,,DEFENDING JACOB,2026-03-07T10:12:01.817Z,4,"[{'isbn10': '', 'isbn13': '9780345527592'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Defending-Jacob-Novel-William-Landay/dp/0385344228?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780345527592?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780345527592&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fdefending-jacob-william-landay%2F1100572462%3Fean%3D9780345527592&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDEFENDING%2BJACOB%2FWilliam%2BLanday%2F9780345527592'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780345527592'}]",2012-03-11,2012-02-25
5,,http://www.amazon.com/Private-Games-James-Patterson/dp/1455513024?tag=thenewyorktim-20,,0,James Patterson and Mark Sullivan,https://storage.googleapis.com/du-prd/books/images/9781455512973.jpg,495,276,,nyt://book/60897cd2-ea46-5c97-adf6-14c5e376e3f0,by James Patterson and Mark Sullivan,,2026-03-07T17:20:57.667Z,0,A journalist and a member of the Private investigative firm pursue a murderer who is trying to destroy the London Olympics.,,0.00,,9780316206815,Vision,6,1,,PRIVATE GAMES,2026-03-07T17:20:57.667Z,2,"[{'isbn10': '', 'isbn13': '9780316206815'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Private-Games-James-Patterson/dp/1455513024?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781455512973?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780316206815&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fprivate-games-james-patterson%2F1104155019%3Fean%3D9780316206815&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FPRIVATE%2BGAMES%2FJames%2BPatterson%2Band%2BMark%2BSullivan%2F9781455512973'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781455512973'}]",2012-03-11,2012-02-25
6,,http://www.amazon.com/Sweetest-Thing-Barbara-Freethy-ebook/dp/B004T3RQQK?tag=thenewyorktim-20,,0,Barbara Freethy,https://static01.nyt.com/bestsellers/images/A00B004T3RQQK.jpg,495,309,,nyt://book/60a13553-c1c1-5721-9184-5a020a6b0ca2,by Barbara Freethy,,2026-03-07T17:44:38.84Z,0,"An entrepreneur must deal with his dotty grandfather, the sudden death of his ex-wife and the appearance of a beautiful redhead.",,0.00,,A00B004T3RQQK,Barbara Freethy,7,8,,THE SWEETEST THING,2026-03-07T17:44:38.84Z,3,"[{'isbn10': '', 'isbn13': 'A00B004T3RQQK'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Sweetest-Thing-Barbara-Freethy-ebook/dp/B004T3RQQK?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': ''}, {'name': 'Barnes & Noble', 'url': 'https://www.barnesandnoble.com/s/THE%20SWEETEST%20THING'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fsearch%3Fquery%3DTHE%2BSWEETEST%2BTHING%2BBarbara%2BFreethy'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/books?affiliate=3546&keywords=THE+SWEETEST+THING'}]",2012-03-11,2012-02-25
7,,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=thenewyorktim-20,,0,Kathryn Stockett,https://static01.nyt.com/bestsellers/images/9781440697661.jpg,440,330,https://www.nytimes.com/2009/02/19/books/19masl.html,nyt://book/1ef97da5-291d-501a-9744-a4e99dd101c5,by Kathryn Stockett,,2026-07-07T20:18:34.793Z,0,Three women — a white socialite and two black maids — work on a tell-all book about black domestic servants in 1960s Mississippi.,,0.00,,9781440697661,Penguin Group,8,5,,THE HELP,2026-07-07T20:18:34.793Z,54,"[{'isbn10': '', 'isbn13': '9781440697661'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781440697661?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9781440697661&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fthe-help-kathryn-stockett%2F1100036619%3Fean%3D9781440697661&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BHELP%2FKathryn%2BStockett%2F9781440697661'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781440697661'}]",2012-03-11,2012-02-25
8,,http://www.amazon.com/Ive-Got-Your-Number-Novel-ebook/dp/B005723JSQ?tag=thenewyorktim-20,,0,Sophie Kinsella,https://static01.nyt.com/bestsellers/images/9780679644682.jpg,495,321,,nyt://book/ae56795b-a4a0-5162-b250-bd3c5f35ca09,by Sophie Kinsella,,2026-03-07T17:15:11.785Z,0,A frazzled bride-to-be creates havoc when she appropriates a cellphone she found in the trash.,,0.00,,9780679644682,Random House Publishing,9,3,,I'VE GOT YOUR NUMBER,2026-03-07T17:15:11.785Z,2,"[{'isbn10': '', 'isbn13': '9780679644682'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Ive-Got-Your-Number-Novel-ebook/dp/B005723JSQ?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780679644682?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780679644682&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Five-got-your-number-sophie-kinsella%2F1103849997%3Fean%3D9780679644682&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FI%2527VE%2BGOT%2BYOUR%2BNUMBER%2FSophie%2BKinsella%2F9780679644682'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780679644682'}]",2012-03-11,2012-02-25
9,,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=thenewyorktim-20,,0,Stieg Larsson,https://static01.nyt.com/bestsellers/images/9780307272300.jpg,495,302,https://www.nytimes.com/2009/07/17/books/17book.html,nyt://book/78e173e0-3f3f-567c-9119-31903e99c419,by Stieg Larsson,,2026-07-07T20:18:27.338Z,0,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",https://www.nytimes.com/2009/07/17/books/excerpt-girl-who-played-with-fire.html,0.00,,9780307272300,Knopf Doubleday,10,11,https://www.nytimes.com/2009/08/16/books/review/Crime-t.html,THE GIRL WHO PLAYED WITH FIRE,2026-07-07T20:18:27.338Z,20,"[{'isbn10': '', 'isbn13': '9780307272300'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780307272300?at=10lIEQ'}, {'name': 'Barnes & Noble', 'url': 'https://barnesandnoble.sjv.io/c/197432/1961179/22009?prodsku=9780307272300&u=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2Fthe-girl-who-played-with-fire-stieg-larsson%2F1100160513%3Fean%3D9780307272300&intsrc=APIG_15890'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BGIRL%2BWHO%2BPLAYED%2BWITH%2BFIRE%2FStieg%2BLarsson%2F9780307272300'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780307272300'}]",2012-03-11,2012-02-25
